"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tnfaip2",0.000616583255387332,1.82752987819158,0.111,0.025,1
"Gm10373",0.000625516004214709,2.56549963781204,0.099,0.018,1
"Map4",0.000643607626532493,0.890852182323027,0.469,0.27,1
"mt-Nd5",0.000656113605932804,0.635622033369319,0.753,0.619,1
"Ccdc82",0.000663713446483151,0.844571212183,0.247,0.11,1
"Rpn1",0.000673031569514433,1.274789154955,0.259,0.107,1
"Tbxa2r",0.000676287723798845,3.14682533969171,0.049,0.004,1
"Gab1",0.000684685420672573,0.67497694788016,0.642,0.448,1
"Rsu1",0.000684834421152306,0.856622094465118,0.321,0.156,1
"Gm28151",0.000721646938487062,2.89837269745756,0.062,0.007,1
"Gm1992",0.000724938721573018,7.48116948493675,0.025,0,1
"Macf1",0.000747093828193977,0.427423416192957,0.889,0.773,1
"Arl4c",0.000754279066259996,3.6069690547088,0.049,0.003,1
"Axdnd1",0.000754923425898461,4.5442898549822,0.037,0.001,1
"Crtc3",0.000758754807489213,1.19841580395239,0.333,0.167,1
"Fam81a",0.000773059295733749,2.57032025032818,0.111,0.026,1
